Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BL:0,5,Resistor_603,92.075,-54.102,0,top
BL:1,5,Resistor_603,94.996,-59.944,0,top
BL:2,5,Resistor_603,96.774,-65.786,0,top
BL:3,5,Resistor_603,107.63,-87.884,0,top
BL:4,5,Resistor_603,114.173,-95.504,90,top
BL:5,5,Resistor_603,120.523,-94.742,90,top
Boot1,SW_Push,ButtonSMD,138.303,-115.824,0,top
C4,47pF,Cap_603,155.702,-125.349,0,top
CB1,100nF,Cap_603,153.035,-116.84,90,top
Cin1,10uF,Cap_603,159.512,-119.507,-90,top
Cout1,47uF,Cap_603,150.495,-117.729,-90,top
ESP1,ESP32-C3-WROOM-02-N4,MODULE_ESP32-C3-WROOM-02-H4,144.4805,-99.568,0,top
GR:0,15,Resistor_603,92.075,-55.499,0,top
GR:1,15,Resistor_603,95.062,-61.976,0,top
GR:2,15,Resistor_603,96.647,-68.453,0,top
GR:3,15,Resistor_603,107.605,-90.678,0,top
GR:4,15,Resistor_603,116.205,-96.774,90,top
GR:5,15,Resistor_603,122.428,-93.726,90,top
HallSensor1,MRMS201A-001,XDCR_MRMS201A-001,59.1405,-25.146,0,top
L1,2.4uH,Inductor_Sunlord,154.813,-112.649,180,top
LED-Driver1,~,QFN-40_EP_4.85x5.15_Pitch0.4mm,114.284,-77.77,-90,top
LED1,~,WL-SFCW SMT Full-color Chip LED,37.208,-30.98,0,top
LED2,~,WL-SFCW SMT Full-color Chip LED,54.226,-47.744,0,top
LED3,~,WL-SFCW SMT Full-color Chip LED,70.99,-64.508,0,top
LED4,~,WL-SFCW SMT Full-color Chip LED,87.754,-81.28,0,top
LED5,~,WL-SFCW SMT Full-color Chip LED,104.394,-98.028,0,top
LED6,~,WL-SFCW SMT Full-color Chip LED,121.028,-114.546,0,top
LED7,~,WL-SFCW SMT Full-color Chip LED,40.002,-33.774,0,top
LED8,~,WL-SFCW SMT Full-color Chip LED,57.02,-50.538,0,top
LED9,~,WL-SFCW SMT Full-color Chip LED,73.784,-67.302,0,top
LED10,~,WL-SFCW SMT Full-color Chip LED,90.424,-84.058,0,top
LED11,~,WL-SFCW SMT Full-color Chip LED,107.188,-100.822,0,top
LED12,~,WL-SFCW SMT Full-color Chip LED,123.952,-117.332,0,top
LED13,~,WL-SFCW SMT Full-color Chip LED,42.796,-36.822,0,top
LED14,~,WL-SFCW SMT Full-color Chip LED,59.814,-53.332,0,top
LED15,~,WL-SFCW SMT Full-color Chip LED,76.578,-70.096,0,top
LED16,~,WL-SFCW SMT Full-color Chip LED,93.088,-86.606,0,top
LED17,~,WL-SFCW SMT Full-color Chip LED,109.982,-103.378,0,top
LED18,~,WL-SFCW SMT Full-color Chip LED,126.746,-120.142,0,top
LED19,~,WL-SFCW SMT Full-color Chip LED,45.844,-39.616,0,top
LED20,~,WL-SFCW SMT Full-color Chip LED,62.608,-56.126,0,top
LED21,~,WL-SFCW SMT Full-color Chip LED,79.372,-72.89,0,top
LED22,~,WL-SFCW SMT Full-color Chip LED,95.758,-89.646,0,top
LED23,~,WL-SFCW SMT Full-color Chip LED,112.776,-106.41,0,top
LED24,~,WL-SFCW SMT Full-color Chip LED,129.41,-122.928,0,top
LED25,~,WL-SFCW SMT Full-color Chip LED,48.638,-42.41,0,top
LED26,~,WL-SFCW SMT Full-color Chip LED,65.402,-58.92,0,top
LED27,~,WL-SFCW SMT Full-color Chip LED,82.166,-75.684,0,top
LED28,~,WL-SFCW SMT Full-color Chip LED,98.676,-92.448,0,top
LED29,~,WL-SFCW SMT Full-color Chip LED,115.44,-108.958,0,top
LED30,~,WL-SFCW SMT Full-color Chip LED,132.08,-125.714,0,top
LED31,~,WL-SFCW SMT Full-color Chip LED,51.432,-45.204,0,top
LED32,~,WL-SFCW SMT Full-color Chip LED,68.196,-61.714,0,top
LED33,~,WL-SFCW SMT Full-color Chip LED,84.96,-78.478,0,top
LED34,~,WL-SFCW SMT Full-color Chip LED,101.6,-95.25,0,top
LED35,~,WL-SFCW SMT Full-color Chip LED,118.234,-111.752,0,top
LED36,~,WL-SFCW SMT Full-color Chip LED,134.874,-128.508,0,top
Power_12V1,Power Terminal,Power_Terminal,162.549767,-127.772233,45,top
R1,1M,Resistor_603,179.758,-112.4725,180,top
R2,10K,Resistor_603,138.43,-111.252,0,top
R3,5.11K,Resistor_603,172.72,-110.744,-90,top
R4,5.11K,Resistor_603,176.403,-110.998,-90,top
R5,10K,Resistor_603,131.445,-105.528,90,top
R6,4.7K,Resistor_603,120.523,-78.486,180,top
R7,100K,Resistor_603,151.629,-123.571,0,top
R8,21.5k,Resistor_603,155.951,-122.428,0,top
R9,5.11K,Resistor_603,170.688,-110.871,-90,top
RD:0,65,Resistor_603,92.111,-52.578,0,top
RD:1,65,Resistor_603,94.93,-58.166,0,top
RD:2,65,Resistor_603,96.774,-63.754,0,top
RD:3,65,Resistor_603,107.696,-85.217,0,top
RD:4,65,Resistor_603,112.522,-94.234,90,top
RD:5,65,Resistor_603,118.745,-96.012,90,top
USB-C1,USB_C_Receptacle_USB2.0,TYPE-C-31-M-14,174.006,-118.634,0,top
VCAP1,1uF,Cap_603,119.38,-80.772,-90,top
VReg1,~,AN_SY8105,155.763,-118.815,0,top
